Date,Close
2020-07-11,1544.7006878903228
2020-07-12,1583.4065646983443
2020-07-13,1624.032898501839
2020-07-14,1577.6252475541137
2020-07-15,1620.9437697418477
2020-07-16,1593.6056602756698
2020-07-17,1638.3837776751143
2020-07-18,1608.4359298612117
2020-07-19,1644.6185462862406
2020-07-20,1600.51339337299
2020-07-21,1641.0781190853904
2020-07-22,1670.7283437325505
2020-07-23,1621.9053049396887
2020-07-24,1596.1809959978516
2020-07-25,1622.0534284608525
2020-07-26,1594.97822200415
2020-07-27,1563.009703191723
2020-07-28,1586.9808804699524
2020-07-29,1607.1389679009771
2020-07-30,1577.4349661878075
2020-07-31,1532.0999189087324
2020-08-01,1492.1013650129835
2020-08-02,1535.514848204925
2020-08-03,1492.061773935709
2020-08-04,1511.1151801537167
2020-08-05,1544.6467771667292
2020-08-06,1499.661650789679
2020-08-07,1479.1390073610137
2020-08-08,1519.3759531080389
2020-08-09,1556.4730837135307
2020-08-10,1572.7598303342043
2020-08-11,1536.4040590874079
2020-08-12,1511.4166549877013
2020-08-13,1554.410439869669
2020-08-14,1525.6851430113884
2020-08-15,1561.6793796768363
2020-08-16,1601.5585312791957
2020-08-17,1572.8874309265552
2020-08-18,1551.0129357484498
2020-08-19,1517.333134592795
2020-08-20,1483.0690685201412
2020-08-21,1511.4178486948879
2020-08-22,1529.0746571754173
2020-08-23,1557.7632391972318
2020-08-24,1522.299354144753
2020-08-25,1491.8554128895635
2020-08-26,1512.7915114701796
2020-08-27,1496.1631003805007
2020-08-28,1452.079395006272
2020-08-29,1478.9973055241414
2020-08-30,1506.2217174611887
2020-08-31,1533.3462463673395
2020-09-01,1555.5629266245096
2020-09-02,1599.1210621205507
2020-09-03,1623.5100613457246
2020-09-04,1591.8914973002686
2020-09-05,1555.9676345158612
2020-09-06,1520.3964551349725
2020-09-07,1489.403587505569
2020-09-08,1472.1570438130723
2020-09-09,1488.0114590447704
2020-09-10,1509.4294496092575
2020-09-11,1551.0016601382172
2020-09-12,1527.5839739816238
2020-09-13,1489.9783184372945
2020-09-14,1465.6479563633243
2020-09-15,1421.7372729522124
2020-09-16,1387.8197028767947
2020-09-17,1409.0574573898625
2020-09-18,1366.9702262586804
2020-09-19,1384.9338990840117
2020-09-20,1419.59083555446
2020-09-21,1400.7287454020657
2020-09-22,1427.81362756495
2020-09-23,1462.2915739979487
2020-09-24,1426.0576431915679
2020-09-25,1389.3527274601681
2020-09-26,1403.756120572932
2020-09-27,1381.7164293492626
2020-09-28,1422.7706256068475
2020-09-29,1457.3194663764184
2020-09-30,1481.9591765097937
2020-10-01,1442.3546667276796
2020-10-02,1460.3595584557654
2020-10-03,1479.4963000338782
2020-10-04,1509.4586150914217
2020-10-05,1529.0020984100463
2020-10-06,1506.2562550731902
2020-10-07,1546.5154698372692
2020-10-08,1582.2654296905396
2020-10-09,1541.698243698224
2020-10-10,1511.401221285507
2020-10-11,1472.5208616722073
2020-10-12,1452.7408731533951
2020-10-13,1496.1859718840622
2020-10-14,1469.5405178261576
2020-10-15,1429.7132157269061
